"object link","text"
"https://pec.ac.in/sites/default/files/uploads/government-of-India-Income-tax.pdf","Registration u/s 12 A(a) of Income Tax Act"
"https://pec.ac.in/sites/default/files/uploads/Circular-Prevalent-taxation-laws.pdf","VAT on sale of Institute Scrap"
"https://pec.ac.in/sites/default/files/uploads/office-of-the-commissioner-of-income-tax-I.pdf","Order u/s 89 G(5)(vi) of Income Tax Act"
"https://pec.ac.in/sites/default/files/uploads/tds.pdf","TDS / Service Tax"
"https://pec.ac.in/sites/default/files/uploads/Old-and-New-Logo-PEC.doc","Download Logo"
"https://pec.ac.in/sites/default/files/uploads/tenders/tender_ece_28-8-20.pdf","Download Tender"
"https://pec.ac.in/sites/default/files/uploads/tenders/tender_cc_25-8-20.pdf","Download Bid Document"
"https://pec.ac.in/sites/default/files/uploads/tenders/tender_cc_11-8-20.pdf","Download Bid Document"
"https://pec.ac.in/sites/default/files/uploads/tenders/tender_cc_11-8-20-1.pdf","Download Tender"
"https://pec.ac.in/sites/default/files/uploads/tenders/corrigendum_cc_20-8-20.pdf","Download Corrigendum"
"https://pec.ac.in/sites/default/files/uploads/tenders/tender_ece_14-8-20.pdf","Download Revised Tender"
"https://pec.ac.in/sites/default/files/uploads/tenders/tender_metta_9-7-20.pdf","Download Tender (1)"
"https://pec.ac.in/sites/default/files/uploads/tenders/tender_metta_1_9-7-20.pdf","Download Tender (2)"
"https://pec.ac.in/sites/default/files/uploads/tenders/tender_metta_2_9-7-20.pdf","Download Tender (3)"
"https://pec.ac.in/sites/default/files/uploads/tenders/tender_admin_3-7-20.pdf","Download Tender"
"https://pec.ac.in/sites/default/files/uploads/tenders/tender_admin_25-6-2020.docx","Download Tender"
"https://pec.ac.in/sites/default/files/uploads/tenders/tender_dsa_18-6-20.pdf","Download Tender"
"https://pec.ac.in/sites/default/files/uploads/tenders/tender_estate_18-5-19.pdf","Download Tender"
"https://pec.ac.in/sites/default/files/uploads/placement_brochure_pec_20-21.pdf","Placement Brochure 2020-21"
"https://pec.ac.in/sites/default/files/attachments/Job%20Announcement%20Form%20%28JAF%29%202020-2021.docx","Job Announcement Form (JAF) 2020-21"
"https://pec.ac.in/sites/default/files/attachments/Internship%20Announcement%20Form%20%28IAF%29%202020-2021.docx","Internship Announcement Form (IAF) 2020-21"
"https://pec.ac.in/sites/default/files/attachments/Placement%20report%2015-16.pdf","Click here to Download Placement Report for 2015-16"
"https://pec.ac.in/sites/default/files/attachments/Placement%20Report%202014-15_0.pdf","Click here to Download Placement Report for 2014-15"
"https://pec.ac.in/sites/default/files/attachments/Industrial%20Training%20Form%20for%20M.Tech_.pdf","Industrial Training Form for M.Tech Students"
"https://pec.ac.in/sites/default/files/attachments/Industrial%20Training%20Form%20for%20%206%20Months%20%28B.Tech%29.pdf","Industrial Training Form for 6 Months for B.Tech Students"
"https://pec.ac.in/sites/default/files/attachments/Form%20-%204-6%20WeeksTraining.pdf","Summer or Winter Industrial Training Form For B.Tech Students"
